 Note: The diagonal elements are the sum of corresponding row elements
 ***************************** Bond order matrix *****************************
             1             2             3             4             5      
     9    0.00004329    0.00011487    0.00049732    0.00031120    0.00012852
    10    0.00001946    0.00037048    0.99243003    0.91899294    0.99205568
    11    3.77570660   -0.00612176    0.00005255    0.00003284    0.00000983
    12   -0.00612176    3.89231865    0.00096899    0.00003416    0.00008660
    13    0.00005255    0.00096899    3.82873401   -0.01270339   -0.01030192
    14    0.00003284    0.00003416   -0.01270339    0.91857280   -0.01314887
    15    0.00000983    0.00008660   -0.01030192   -0.01314887    3.83075461
    16    0.98106890    0.04171643    0.00009261    0.00001579    0.00001140
    17    0.92469427    0.00160784    0.00000278    0.00000650    0.00001322
    18    0.92193902    0.00443445    0.00000696    0.00002272    0.00001825
    19   -0.00154935    0.98520993    0.00001453    0.00000542    0.00001252
    20   -0.00164615    0.99145473    0.00168276    0.00006965    0.00010082
    21    0.00799971    0.91415440    0.00685150    0.00003452    0.00018542
    22    0.00001695   -0.00004940    0.94464980   -0.00012155    0.00663772
    23    0.00000979    0.00021743    0.94258106   -0.00006836    0.00038326
    24   -0.00000747   -0.00015649    0.93766530    0.00847623    0.00042578
    25    0.00000064    0.00001570    0.00659681   -0.00010448    0.94872071
    26    0.00000753    0.00000897    0.00031357   -0.00006250    0.94309992
    27    0.00000466    0.00000297    0.00022471    0.00873665    0.94752225
    28    0.00824101    0.00943101    0.00005549    0.00000351    0.00000216
    29   -0.00573669   -0.00242928    0.00091217    0.00003664    0.00000837
    30   -0.00716536    0.00089237    0.00003058    0.00000065    0.00000146
    31   -0.00005985   -0.00303876    0.00003260    0.00000466    0.00000076
    32    0.00124069   -0.00541965   -0.00000529    0.00000122    0.00000277
    33   -0.00029806   -0.00244938    0.00063387    0.00003528    0.00000645
    34    0.00036671   -0.00658815    0.00037281    0.00009950   -0.00002186
    35    0.00010965    0.00255935    0.00001451    0.00000004    0.00000006
    36    0.00736811    0.00232921    0.00002228    0.00000048    0.00000010
            16            17            18            19            20      
     1    0.00625025    0.00314015    0.00572476    0.00656559    0.00044262
     2    0.00319988    0.00296439    0.00718028    0.00424880    0.00741063
     3   -0.00000192    0.00031775    0.00013517    0.00000706    0.00037986
     4    0.00089856    0.00077919    0.00165273    0.00052501    0.00192813
     5    0.00004205    0.00001929    0.00003004   -0.00002121   -0.00011948
     6    0.00025618    0.00024643    0.00050564    0.00010919    0.00062004
     7   -0.00329353   -0.00781007   -0.00742247   -0.00810436   -0.01029595
     8    0.00006577    0.00006809    0.00002191    0.00008530    0.00006895
     9    0.00000233    0.00000692    0.00000376    0.00003352    0.00002325
    10    0.00001911    0.00000843    0.00001355    0.00002536    0.00017102
    11    0.98106890    0.92469427    0.92193902   -0.00154935   -0.00164615
    12    0.04171643    0.00160784    0.00443445    0.98520993    0.99145473
    13    0.00009261    0.00000278    0.00000696    0.00001453    0.00168276
    14    0.00001579    0.00000650    0.00002272    0.00000542    0.00006965
    15    0.00001140    0.00001322    0.00001825    0.00001252    0.00010082
    16    3.87156246   -0.00508231   -0.00154831    0.00776427   -0.00325413
    17   -0.00508231    0.92424577   -0.01300251    0.00099219    0.00021996
    18   -0.00154831   -0.01300251    0.93430399   -0.00019210    0.00030213
